Predicted values of the hazard for Minnesota 2000 whites based on
an extrapolation.  We hope that the 2000 decennial data by state will be
available from the National Center for Health Statistic "real soon now" and
this will then be obsolete. 

male,female
1.39265691017586e-05,1.03572212670135e-05
9.20603029104225e-07,8.85987168276751e-07
6.47681898808714e-07,5.87036615579435e-07
5.4083768892369e-07,4.57262575651002e-07
4.70057057289557e-07,3.63587177094913e-07
4.36914823214765e-07,3.48892708132899e-07
4.22892835781402e-07,3.12780001212093e-07
4.08392693363224e-07,2.96607871238358e-07
3.72696432587986e-07,2.79836852203733e-07
3.14926246342752e-07,2.62452705130001e-07
2.76765303571155e-07,2.44443645487429e-07
2.8066870610668e-07,2.48378040201606e-07
3.72247305419282e-07,2.98281741657815e-07
6.44146478972443e-07,3.73078571918325e-07
1.01409845042299e-06,5.21370623521064e-07
1.46358179742435e-06,6.7448687212097e-07
1.88007833261704e-06,8.32591611593066e-07
2.23836316683438e-06,9.70861483902324e-07
2.48763766174399e-06,1.03743684397805e-06
2.64687332587426e-06,1.07996633773974e-06
2.81029663603646e-06,1.12320926731388e-06
2.95276322627416e-06,1.1670041545518e-06
3.04759106103952e-06,1.18424613195772e-06
3.04077653962072e-06,1.14629419093316e-06
3.00611219780342e-06,1.13378482532391e-06
2.94229363330609e-06,1.09168549569062e-06
2.90182161869685e-06,1.07557630084118e-06
2.88561261258719e-06,1.05771448461596e-06
2.949713410791e-06,1.06687161764685e-06
3.04112172169864e-06,1.07457403384412e-06
3.16050886902028e-06,1.10987244786276e-06
3.25133763312517e-06,1.14367131731376e-06
3.39868297540152e-06,1.2052826637657e-06
3.57448740091147e-06,1.35362858455625e-06
3.80802973888927e-06,1.52963598446841e-06
4.07012807681478e-06,1.76209873605267e-06
4.3601314128763e-06,1.96216384057384e-06
4.61744411864199e-06,2.21713358677358e-06
4.87011749737112e-06,2.46768404992258e-06
5.11660113689431e-06,2.71336345738277e-06
5.38521488292567e-06,2.9825300305253e-06
5.70400858579968e-06,3.27435035078235e-06
6.0406779670333e-06,3.55974201782078e-06
6.48137658477315e-06,3.86667206927571e-06
6.96223760473748e-06,4.13887801293205e-06
7.56587460926013e-06,4.48746593215108e-06
8.25552121959354e-06,4.88319874198265e-06
8.99676757669e-06,5.3250552431317e-06
9.701286320375e-06,5.78540698844517e-06
1.0424390372888e-05,6.31755031573254e-06
1.1218665416715e-05,6.89415406329164e-06
1.22135013929174e-05,7.56755439456329e-06
1.33466267877299e-05,8.31107891002506e-06
1.46634573275917e-05,9.09943554563964e-06
1.61569967099448e-05,9.95978598981825e-06
1.7748200107623e-05,1.08684048023137e-05
1.95118455730604e-05,1.19294668872364e-05
2.14248237769127e-05,1.31959686827499e-05
2.35398700688798e-05,1.46967793542749e-05
2.57942658758971e-05,1.6362071288953e-05
2.81097904280799e-05,1.81747620774958e-05
3.05511193749006e-05,2.00430158477601e-05
3.3357970683543e-05,2.18711444256689e-05
3.66286273022226e-05,2.36871700364869e-05
4.04181692050952e-05,2.5594889759268e-05
4.44904181052422e-05,2.7596325616744e-05
4.88607603411066e-05,2.99261328070151e-05
5.37958952349645e-05,3.27990718567667e-05
5.9476340358312e-05,3.64363926452384e-05
6.6020111681404e-05,4.08001025401306e-05
7.34353462832404e-05,4.57416864164795e-05
8.16624121669931e-05,5.10500590801778e-05
9.06403008900873e-05,5.66121540120159e-05
0.000100112760734456,6.22794295402128e-05
0.000110100695686309,6.81723166272465e-05
0.000120745807051394,7.42988625164952e-05
0.000132519023093508,8.11724007282815e-05
0.000145918075861754,8.94981370149025e-05
0.000161676004988111,9.98558844008906e-05
0.000180206577823377,0.000112206933919618
0.000201978773482295,0.000125878420206225
0.000226407866108711,0.000140560051053116
0.000252441896534326,0.000156954971341043
0.000278539675735394,0.000175230441764111
0.000304787353324727,0.000195622415425396
0.000335529994082316,0.000220662191825247
0.000371440243453386,0.000248583574878534
0.000410417432898773,0.000278785800547492
0.000452101977189709,0.000311484492377832
0.000496919439552413,0.000347848114715979
0.0005471917033,0.000390662918300368
0.000603275164909138,0.000439895384497494
0.000661772794428213,0.00049250535805386
0.00071994573689031,0.000546715646422388
0.000777263806806597,0.00060361281814557
0.000835732372758151,0.000664477980467684
0.000896996980091365,0.00072436407032913
0.000955440984040478,0.000784377832823226
0.00101420587394613,0.000844759967960249
0.00107690567923441,0.000905957115691191
0.00114388704284345,0.0009725372903256
0.00121571761499826,0.00104510743254903
0.00129291171103506,0.00112435307655779
0.00137610820487224,0.00121105539858587
0.00146609467610828,0.00130620136766658
0.00156374167804601,0.00141089194715065
0.00167016012585706,0.00152642849867822
0.00178649444890557,0.0016544898447713
0.00191420574816708,0.0017970652871258
0.00205512053708146,0.00195666361064516
