year age sex race q
1940 0-1d m total 0.01571
1940 1-7d m total 0.01117
1940 7-28d m total 0.00631
1940 0 m total 0.05238
1940 1 m total 0.00553
1940 2 m total 0.00289
1940 3 m total 0.00201
1940 4 m total 0.00162
1940 5 m total 0.00145
1940 6 m total 0.0013
1940 7 m total 0.00119
1940 8 m total 0.00111
1940 9 m total 0.00106
1940 10 m total 0.00105
1940 11 m total 0.00107
1940 12 m total 0.00113
1940 13 m total 0.00124
1940 14 m total 0.00139
1940 15 m total 0.00157
1940 16 m total 0.00176
1940 17 m total 0.00194
1940 18 m total 0.00211
1940 19 m total 0.00228
1940 20 m total 0.00246
1940 21 m total 0.00261
1940 22 m total 0.00274
1940 23 m total 0.00283
1940 24 m total 0.00288
1940 25 m total 0.00292
1940 26 m total 0.00297
1940 27 m total 0.00304
1940 28 m total 0.00314
1940 29 m total 0.00325
1940 30 m total 0.00338
1940 31 m total 0.00352
1940 32 m total 0.00369
1940 33 m total 0.00388
1940 34 m total 0.00409
1940 35 m total 0.00433
1940 36 m total 0.00459
1940 37 m total 0.00488
1940 38 m total 0.0052
1940 39 m total 0.00556
1940 40 m total 0.00595
1940 41 m total 0.00639
1940 42 m total 0.00687
1940 43 m total 0.0074
1940 44 m total 0.00799
1940 45 m total 0.00863
1940 46 m total 0.00932
1940 47 m total 0.01006
1940 48 m total 0.01086
1940 49 m total 0.01172
1940 50 m total 0.01264
1940 51 m total 0.01364
1940 52 m total 0.01472
1940 53 m total 0.0159
1940 54 m total 0.01716
1940 55 m total 0.0185
1940 56 m total 0.01993
1940 57 m total 0.02144
1940 58 m total 0.02302
1940 59 m total 0.02469
1940 60 m total 0.02647
1940 61 m total 0.02837
1940 62 m total 0.03041
1940 63 m total 0.0326
1940 64 m total 0.03497
1940 65 m total 0.03755
1940 66 m total 0.04037
1940 67 m total 0.04347
1940 68 m total 0.04687
1940 69 m total 0.05062
1940 70 m total 0.05477
1940 71 m total 0.05936
1940 72 m total 0.06444
1940 73 m total 0.07005
1940 74 m total 0.07618
1940 75 m total 0.08284
1940 76 m total 0.09002
1940 77 m total 0.0977
1940 78 m total 0.1059
1940 79 m total 0.11461
1940 80 m total 0.12386
1940 81 m total 0.13367
1940 82 m total 0.14404
1940 83 m total 0.15498
1940 84 m total 0.16643
1940 85 m total 0.17831
1940 86 m total 0.19055
1940 87 m total 0.20308
1940 88 m total 0.21582
1940 89 m total 0.22871
1940 90 m total 0.24168
1940 91 m total 0.25468
1940 92 m total 0.26763
1940 93 m total 0.28066
1940 94 m total 0.29362
1940 95 m total 0.30649
1940 96 m total 0.31929
1940 97 m total 0.33209
1940 98 m total 0.34497
1940 99 m total 0.35806
1940 100 m total 0.37153
1940 101 m total 0.38557
1940 102 m total 0.40033
1940 103 m total 0.41594
1940 104 m total 0.43243
1940 105 m total 0.44965
1940 106 m total 0.46723
1940 107 m total 0.48446
1940 108 m total 0.50029
1940 109 m total 0.51612
1940 0-1d f total 0.01214
1940 1-7d f total 0.00813
1940 7-28d f total 0.00514
1940 0 f total 0.04152
1940 1 f total 0.00489
1940 2 f total 0.00244
1940 3 f total 0.00174
1940 4 f total 0.0014
1940 5 f total 0.0012
1940 6 f total 0.00103
1940 7 f total 9e-04
1940 8 f total 0.00082
1940 9 f total 0.00076
1940 10 f total 0.00075
1940 11 f total 0.00076
1940 12 f total 0.00081
1940 13 f total 9e-04
1940 14 f total 0.00104
1940 15 f total 0.00121
1940 16 f total 0.00138
1940 17 f total 0.00153
1940 18 f total 0.00165
1940 19 f total 0.00178
1940 20 f total 0.0019
1940 21 f total 0.00201
1940 22 f total 0.00211
1940 23 f total 0.00219
1940 24 f total 0.00226
1940 25 f total 0.00232
1940 26 f total 0.00239
1940 27 f total 0.00247
1940 28 f total 0.00257
1940 29 f total 0.00266
1940 30 f total 0.00277
1940 31 f total 0.00289
1940 32 f total 0.00301
1940 33 f total 0.00315
1940 34 f total 0.00331
1940 35 f total 0.00347
1940 36 f total 0.00365
1940 37 f total 0.00384
1940 38 f total 0.00405
1940 39 f total 0.00427
1940 40 f total 0.00452
1940 41 f total 0.00479
1940 42 f total 0.0051
1940 43 f total 0.00533
1940 44 f total 0.0058
1940 45 f total 0.00621
1940 46 f total 0.00665
1940 47 f total 0.00712
1940 48 f total 0.00763
1940 49 f total 0.00817
1940 50 f total 0.00876
1940 51 f total 0.0094
1940 52 f total 0.01009
1940 53 f total 0.01085
1940 54 f total 0.01167
1940 55 f total 0.01257
1940 56 f total 0.01354
1940 57 f total 0.0146
1940 58 f total 0.01575
1940 59 f total 0.017
1940 60 f total 0.01837
1940 61 f total 0.01985
1940 62 f total 0.02147
1940 63 f total 0.02324
1940 64 f total 0.02519
1940 65 f total 0.02736
1940 66 f total 0.02978
1940 67 f total 0.0325
1940 68 f total 0.03554
1940 69 f total 0.03895
1940 70 f total 0.04274
1940 71 f total 0.04696
1940 72 f total 0.05163
1940 73 f total 0.05679
1940 74 f total 0.06243
1940 75 f total 0.06856
1940 76 f total 0.07519
1940 77 f total 0.08233
1940 78 f total 0.08997
1940 79 f total 0.09814
1940 80 f total 0.10687
1940 81 f total 0.11618
1940 82 f total 0.12609
1940 83 f total 0.13662
1940 84 f total 0.14772
1940 85 f total 0.15932
1940 86 f total 0.17138
1940 87 f total 0.18383
1940 88 f total 0.19661
1940 89 f total 0.20967
1940 90 f total 0.22296
1940 91 f total 0.23644
1940 92 f total 0.25005
1940 93 f total 0.26353
1940 94 f total 0.27692
1940 95 f total 0.29019
1940 96 f total 0.30327
1940 97 f total 0.31613
1940 98 f total 0.32879
1940 99 f total 0.34127
1940 100 f total 0.35368
1940 101 f total 0.36619
1940 102 f total 0.37903
1940 103 f total 0.39249
1940 104 f total 0.40691
1940 105 f total 0.42258
1940 106 f total 0.43978
1940 107 f total 0.45869
1940 108 f total 0.47941
1940 109 f total 0.50193
1940 0-1d m white 0.01538
1940 1-7d m white 0.0104
1940 7-28d m white 0.00556
1940 0 m white 0.04812
1940 1 m white 0.00487
1940 2 m white 0.00265
1940 3 m white 0.0019
1940 4 m white 0.00153
1940 5 m white 0.00138
1940 6 m white 0.00124
1940 7 m white 0.00114
1940 8 m white 0.00106
1940 9 m white 0.00102
1940 10 m white 0.001
1940 11 m white 0.00101
1940 12 m white 0.00103
1940 13 m white 0.00114
1940 14 m white 0.00127
1940 15 m white 0.00143
1940 16 m white 0.00158
1940 17 m white 0.00172
1940 18 m white 0.00186
1940 19 m white 0.00199
1940 20 m white 0.00212
1940 21 m white 0.00223
1940 22 m white 0.00232
1940 23 m white 0.00238
1940 24 m white 0.00241
1940 25 m white 0.00243
1940 26 m white 0.00245
1940 27 m white 0.00251
1940 28 m white 0.00259
1940 29 m white 0.00268
1940 30 m white 0.00279
1940 31 m white 0.00291
1940 32 m white 0.00306
