"age" "tm" "tf"
"0-1" 546 437
"1-2" 42 26
"2-3" 23 17
"3-4" 19 15
"4-5" 19 12
"5-6" 17 15
"6-7" 11 13
"7-8" 11 14
"8-9" 11 7
"9-10" 8 10
"10-11" 12 13
"11-12" 19 7
"12-13" 21 12
"13-14" 21 19
"14-15" 37 18
"15-16" 47 30
"16-17" 46 36
"17-18" 69 35
"18-19" 96 30
"19-20" 99 34
"20-21" 98 27
"21-22" 127 26
"22-23" 97 30
"23-24" 103 32
"24-25" 102 25
"25-26" 88 33
"26-27" 89 45
"27-28" 104 36
"28-29" 98 46
"29-30" 73 34
"30-31" 98 46
"31-32" 99 56
"32-33" 105 43
"33-34" 101 50
"34-35" 100 49
"35-36" 126 60
"36-37" 121 67
"37-38" 136 79
"38-39" 132 88
"39-40" 138 93
"40-41" 172 94
"41-42" 195 117
"42-43" 183 118
"43-44" 208 135
"44-45" 188 130
"45-46" 253 140
"46-47" 275 171
"47-48" 307 186
"48-49" 366 209
"49-50" 343 189
"50-51" 394 246
"51-52" 410 227
"52-53" 439 273
"53-54" 470 293
"54-55" 546 320
"55-56" 586 410
"56-57" 610 373
"57-58" 626 367
"58-59" 851 520
"59-60" 833 540
"60-61" 940 615
"61-62" 901 587
"62-63" 1110 748
"63-64" 1189 796
"64-65" 1295 855
"65-66" 1435 912
"66-67" 1508 1017
"67-68" 1708 1090
"68-69" 1997 1306
"69-70" 1946 1187
"70-71" 2226 1577
"71-72" 2393 1779
"72-73" 2836 1965
"73-74" 3169 1982
"74-75" 3327 2273
"75-76" 3844 2401
"76-77" 4155 2497
"77-78" 4721 2877
"78-79" 5001 3178
"79-80" 5780 3734
"80-81" 6211 4082
"81-82" 7445 4989
"82-83" 7704 5471
"83-84" 9480 5894
"84-85" 9460 6776
"85-86" 9942 6639
"86-87" 11693 7916
"87-88" 12960 8911
"88-89" 14720 10343
"89-90" 15762 11477
"90-91" 17490 12966
"91-92" 18946 14849
"92-93" 21889 16948
"93-94" 23140 19640
"94-95" 24436 18973
"95-96" 26418 23152
"96-97" 32863 22606
"97-98" 33507 27263
"98-99" 30091 31076
"99-100" 29382 33769
