"age" "tm" "wm" "bm" "tf" "wf" "bf"
"0-1" 772 636 635 516 1592 1316
"1-2" 58 49 49 44 111 83
"2-3" 41 31 37 28 65 53
"3-4" 31 24 29 22 42 38
"4-5" 24 19 20 17 44 31
"5-6" 22 18 20 16 38 29
"6-7" 21 17 19 15 36 25
"7-8" 20 16 18 14 34 23
"8-9" 18 14 16 13 30 21
"9-10" 15 13 14 12 26 19
"10-11" 13 12 12 11 22 18
"11-12" 13 12 12 11 21 18
"12-13" 19 15 18 14 28 20
"13-14" 32 19 30 19 45 24
"14-15" 49 26 46 25 68 29
"15-16" 68 33 64 33 94 35
"16-17" 85 39 80 40 118 41
"17-18" 100 44 93 44 141 47
"18-19" 111 46 102 46 163 52
"19-20" 119 47 108 45 184 58
"20-21" 127 46 114 44 208 64
"21-22" 136 47 120 43 233 70
"22-23" 141 48 125 42 250 76
"23-24" 143 49 126 43 256 81
"24-25" 141 50 125 44 253 85
"25-26" 139 52 123 45 246 90
"26-27" 137 54 122 47 242 95
"27-28" 136 56 122 49 241 100
"28-29" 138 59 124 51 245 106
"29-30" 142 62 127 54 255 112
"30-31" 147 65 132 57 266 119
"31-32" 153 69 136 60 277 127
"32-33" 159 75 143 65 289 139
"33-34" 167 82 150 71 302 154
"34-35" 176 90 159 78 316 171
"35-36" 186 98 168 85 331 189
"36-37" 196 106 178 92 348 206
"37-38" 208 115 189 100 371 225
"38-39" 223 124 202 107 401 246
"39-40" 240 134 217 116 438 268
"40-41" 259 145 233 125 478 292
"41-42" 278 156 250 135 519 316
"42-43" 300 169 270 145 567 341
"43-44" 326 182 292 157 624 366
"44-45" 354 196 317 170 689 393
"45-46" 387 213 345 185 765 422
"46-47" 422 231 376 202 847 454
"47-48" 458 251 409 221 927 488
"48-49" 493 273 440 242 998 523
"49-50" 526 296 472 265 1063 560
"50-51" 561 322 506 290 1131 602
"51-52" 601 351 545 318 1211 649
"52-53" 648 382 589 348 1300 702
"53-54" 704 418 643 382 1401 760
"54-55" 771 460 706 421 1512 823
"55-56" 849 508 780 467 1633 894
"56-57" 936 562 864 519 1762 971
"57-58" 1028 620 953 575 1898 1050
"58-59" 1122 680 1043 634 2039 1130
"59-60" 1219 744 1137 695 2183 1210
"60-61" 1325 814 1241 765 2336 1296
"61-62" 1446 895 1360 845 2496 1389
"62-63" 1580 982 1494 932 2653 1490
"63-64" 1728 1076 1643 1025 2798 1599
"64-65" 1888 1175 1806 1124 2933 1716
"65-66" 2053 1280 1977 1230 3054 1833
"66-67" 2230 1395 2159 1345 3183 1959
"67-68" 2431 1524 2364 1473 3355 2115
"68-69" 2662 1669 2598 1616 3600 2314
"69-70" 2918 1829 2852 1771 3916 2555
"70-71" 3182 1994 3112 1930 4274 2825
"71-72" 3449 2167 3376 2096 4644 3105
"72-73" 3737 2362 3660 2287 5034 3394
"73-74" 4052 2588 3973 2512 5423 3679
"74-75" 4397 2845 4319 2771 5809 3960
"75-76" 4761 3119 4682 3047 6224 4253
"76-77" 5142 3409 5062 3339 6672 4568
"77-78" 5562 3735 5486 3669 7119 4903
"78-79" 6047 4116 5982 4054 7565 5271
"79-80" 6616 4560 6568 4504 8038 5691
"80-81" 7296 5063 7270 5012 8572 6159
"81-82" 8079 5628 8075 5583 9206 6691
"82-83" 8940 6285 8953 6244 9958 7324
"83-84" 9827 7041 9850 7008 10809 8069
"84-85" 10734 7896 10763 7872 11713 8906
"85-86" 11742 8755 11793 8738 12513 9673
"86-87" 12810 9679 12890 9674 13346 10490
"87-88" 13936 10667 14056 10686 14212 11359
"88-89" 15121 11720 15290 11774 15110 12281
"89-90" 16362 12839 16594 12942 16040 13258
"90-91" 17658 14022 17965 14191 16999 14291
"91-92" 19004 15267 19403 15522 17987 15382
"92-93" 20397 16573 20907 16938 19003 16530
"93-94" 21833 17936 22473 18438 20044 17738
"94-95" 23308 19353 24099 20021 21108 19005
"95-96" 24814 20818 25781 21688 22194 20332
"96-97" 26346 22326 27514 23437 23298 21719
"97-98" 27897 23872 29294 25266 24418 23165
"98-99" 29460 25447 31114 27171 25552 24670
"99-100" 31026 27043 32969 29148 26695 26234
