year,period,total.m, total.f, white.m, white.f, black.m, black.f
1999,0-24 hrs,6116 ,5045 ,3820 ,3158 ,2100 ,1691 
1999,1-6 d,2140 ,1588 ,1507 ,1116 ,574 ,411 
1999,7-27 d,2099 ,1740 ,1407 ,1156 ,623 ,521 
1999,28-365 d,5291 ,3918 ,3463 ,2440 ,1600 ,1302 
2000,0-24 hrs,6118 ,4985 ,3811 ,3147 ,2076 ,1655 
2000,1-6 d,2243 ,1567 ,1549 ,1100 ,589 ,410 
2000,7-27 d,2150 ,1713 ,1453 ,1141 ,620 ,493 
2000,28-365 d,5207 ,4052 ,3364 ,2579 ,1616 ,1312 
2001,0-24 hrs,6122 ,4776 ,3859 ,3052 ,2047 ,1559 
2001,1-6 d,2139 ,1574 ,1513 ,1092 ,558 ,420 
2001,7-27 d,1976 ,1678 ,1378 ,1119 ,520 ,481 
2001,28-365 d,5240 ,4063 ,3349 ,2593 ,1639 ,1274 
2002,0-24 hrs,6303 ,5063 ,4008 ,3198 ,2042 ,1661 
2002,1-6 d,2050 ,1588 ,1497 ,1092 ,476 ,433 
2002,7-27 d,2055 ,1688 ,1436 ,1123 ,536 ,498 
2002,28-365 d,5309 ,3978 ,3492 ,2523 ,1598 ,1280 
2003,0-24 hrs,6387 ,5082 ,4110 ,3295 ,2034 ,1581 
2003,1-6 d,2123 ,1541 ,1503 ,1101 ,533 ,372 
2003,7-27 d,2126 ,1634 ,1432 ,1054 ,607 ,513 
2003,28-365 d,5266 ,3866 ,3455 ,2490 ,1566 ,1196 
2004,0-24 hrs,6472 ,4974 ,4054 ,3169 ,2003 ,1575 
2004,1-6 d,1826 ,1582 ,1421 ,1087 ,488 ,432 
2004,7-27 d,2092 ,1647 ,1365 ,1102 ,633 ,491 
2004,28-365 d,5328 ,4015 ,3425 ,2608 ,1645 ,1227 
2005,"0-24 hrs",6212,5145,3884,3283,2059,1669
2005,"1-6 d",2129,1526,1497,1074,540,381
2005,"7-28 d",2103,1655,1415,1086,602,489
2005,"28-365 d",5574,4096,3675,2600,1666,1289
2006,"0-24 hrs",6331,5063,3996,3170,2061,1685
2006,"1-6 d",2041,1668,1440,1148,504,448
2006,"7-28 d",2192,1694,1427,1121,659,519
2006,"28-365 d",5416,4122,3482,2619,1662,1320
2007,"0-24 hrs",6346,5124,3971,3232,2089,1654
2007,"1-6 d",2061,1562,1423,1096,530,390
2007,"7-28 d",2180,1785,1451,1160,637,542
2007,"28-365 d",5706,4374,3695,2779,1719,1383
